Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
external_long_Arena_GPC_1_Reptilia_1	163	351	420	0	0	63	0	0	269
external_long_Arena_GPC_2_Homo_sapiens_1	46	0	213	0	0	0	172	121	53
external_long_Arena_GPC_2_Homo_sapiens_2	0	0	33	0	0	0	48	32	19
external_long_Arena_GPC_3_Homo_sapiens_1	102	0	303	0	0	0	101	72	75
external_long_Arena_GPC_4_Reptilia_1	104	0	167	0	0	265	164	0	132
external_long_Arena_NP_2_Reptilia_1	237	0	146	0	0	0	144	129	86
external_long_Arena_Z_1_Homo_sapiens_1	26	0	269	0	0	0	0	96	0
external_long_Arena_Z_2_Homo_sapiens_1	0	91	151	0	0	0	0	0	0
external_long_Arena_Z_3_Reptilia_1	0	116	91	0	0	44	0	156	0
external_long_Calici_C_2_Mammalia_1	48	110	0	0	93	141	111	98	105
external_long_Calici_C_2_Mammalia_2	44	50	132	15	202	147	133	81	74
external_long_Calici_C_2_Mammalia_3	121	123	189	41	232	165	194	67	170
external_long_Calici_LC_2_Mammalia_1	75	0	0	0	170	84	385	188	0
external_long_Calici_NS1_2_2_Mammalia_1	0	0	234	0	0	0	153	116	379
external_long_Calici_NS1_2_2_Unclassified_1	0	57	40	0	0	0	28	0	101
external_long_Calici_NS4_2_Mammalia_1	0	0	321	0	0	0	109	0	0
external_long_Calici_NTPASE_2_Mammalia_1	32	40	24	37	196	9	196	121	91
external_long_Calici_NTPASE_2_Mammalia_2	79	69	128	15	60	44	209	24	155
external_long_Calici_ORF2_2_Homo_sapiens_1	15	48	94	21	253	21	91	201	49
external_long_Calici_ORF2_2_Homo_sapiens_2	0	0	83	0	0	0	86	114	38
external_long_Calici_ORF2_2_Mammalia_1	0	0	200	0	280	0	0	171	213
external_long_Calici_ORF2_2_Mammalia_2	0	0	201	0	184	0	81	166	129
external_long_Calici_ORF2_2_Mammalia_3	0	0	0	0	117	18	0	47	86
external_long_Calici_ORF2_2_Unclassified_1	0	0	0	0	69	11	0	81	0
external_long_Calici_ORF3_3_Mammalia_1	20	0	120	0	58	0	117	0	81
external_long_Calici_P15_2_Mammalia_1	35	0	118	0	0	0	0	134	108
external_long_Calici_P16_2_Mammalia_1	0	0	35	0	0	0	62	0	148
external_long_Calici_P22_3_Homo_sapiens_1	56	0	316	0	0	0	0	109	85
external_long_Calici_P22_4_Homo_sapiens_1	0	0	89	0	0	0	52	0	0
external_long_Calici_P23_P26_2_Mammalia_1	24	0	215	0	0	0	99	103	70
external_long_Calici_P29_2_Mammalia_1	0	0	259	0	0	70	89	175	139
external_long_Calici_P30_2_Mammalia_1	30	66	151	0	92	0	82	113	68
external_long_Calici_P30_2_Mammalia_2	19	68	101	0	79	0	62	40	90
external_long_Calici_P30_VPG_2_Mammalia_1	19	0	38	0	30	10	26	42	26
external_long_Calici_P32_2_Mammalia_1	60	0	99	0	136	70	161	0	155
external_long_Calici_P32_2_Mammalia_2	68	0	160	0	0	48	184	94	125
external_long_Calici_P37_2_Mammalia_1	28	0	176	0	0	0	65	0	400
external_long_Calici_PRO_3_Homo_sapiens_1	56	0	305	0	0	0	0	391	116
external_long_Calici_PRO_3_Homo_sapiens_2	0	0	412	0	0	0	0	328	0
external_long_Calici_PRO_3_Mammalia_1	70	0	251	0	191	0	0	445	65
external_long_Calici_PRO_3_Unclassified_1	20	0	84	0	0	0	0	16	0
external_long_Calici_RDRP_2_Mammalia_1	0	0	274	0	0	0	61	135	130
external_long_Calici_RDRP_2_Mammalia_2	0	0	43	0	0	0	29	0	63
external_long_Calici_VP10_2_Mammalia_1	29	0	54	0	0	0	94	0	66
external_long_Calici_VP1_2_Homo_sapiens_1	43	0	165	0	113	0	84	48	150
external_long_Calici_VP1_2_Homo_sapiens_2	20	0	284	0	99	0	61	0	122
external_long_Calici_VP1_2_Homo_sapiens_3	32	0	139	0	143	0	147	75	114
external_long_Calici_VP1_2_Homo_sapiens_4	46	0	223	0	0	0	113	0	235
external_long_Calici_VP1_2_Homo_sapiens_5	56	232	327	39	271	51	156	21	300
external_long_Calici_VP1_2_Homo_sapiens_6	69	0	374	0	0	0	182	0	305
external_long_Calici_VP1_2_Homo_sapiens_7	64	0	180	0	0	0	176	0	226
external_long_Calici_VP1_2_Homo_sapiens_8	36	0	131	0	90	0	163	0	212
external_long_Calici_VP1_2_Mammalia_1	69	0	254	0	152	40	134	0	0
external_long_Calici_VP1_2_Mammalia_2	48	0	152	0	174	28	61	0	79
external_long_Calici_VP1_2_Unclassified_1	34	0	0	0	73	0	59	0	68
external_long_Calici_VP2_3_Homo_sapiens_1	0	0	244	0	0	0	0	390	140
external_long_Calici_VP2_3_Homo_sapiens_2	0	0	0	0	0	43	109	311	205
external_long_Calici_VP2_3_Homo_sapiens_3	0	0	250	0	0	0	0	285	141
external_long_Calici_VP2_3_Homo_sapiens_4	0	0	204	0	0	57	0	306	155
external_long_Calici_VP2_3_Homo_sapiens_5	0	0	168	0	0	0	0	360	325
external_long_Calici_VP2_3_Homo_sapiens_6	0	0	52	0	30	15	30	0	0
external_long_Calici_VP2_3_Mammalia_1	10	0	51	0	0	17	0	49	30
external_long_Calici_VP2_4_Mammalia_1	0	0	184	0	0	0	65	0	50
external_long_Calici_VP60_2_Mammalia_1	38	0	312	0	0	0	0	139	198
external_long_Calici_VPG_2_Mammalia_1	0	0	54	0	0	0	0	84	11
external_long_Corona_3B_1_Aves_1	24	79	110	0	0	0	133	0	0
external_long_Corona_4B_1_Aves_1	0	184	162	0	121	0	87	0	0
external_long_Corona_5A_1_Aves_1	0	126	0	32	0	0	189	0	52
external_long_Corona_5B_1_Aves_1	0	120	0	0	53	22	54	0	71
external_long_Corona_6B_1_Aves_1	0	23	0	0	26	0	44	0	0
external_long_Corona_E_1_Aves_1	13	62	0	0	113	0	48	0	0
external_long_Corona_E_2_Mammalia_1	0	0	24	14	30	0	30	0	16
external_long_Corona_HE_1_Mammalia_1	19	256	86	41	397	43	347	12	73
external_long_Corona_M_1_Aves_1	3	114	77	11	127	18	66	123	31
external_long_Corona_M_2_Aves_1	0	194	158	0	0	0	210	0	40
external_long_Corona_M_2_Aves_2	0	183	147	0	0	0	152	0	79
external_long_Corona_M_2_Aves_3	0	202	0	0	0	0	279	0	114
external_long_Corona_M_2_Aves_4	0	99	0	0	0	0	108	0	48
external_long_Corona_M_2_Mammalia_1	0	205	192	0	0	0	164	0	123
external_long_Corona_M_2_Mammalia_2	0	212	214	0	0	0	248	0	46
external_long_Corona_M_2_Mammalia_3	0	203	87	0	64	0	124	0	66
external_long_Corona_M_2_Unclassified_1	0	35	45	0	27	0	25	0	0
external_long_Corona_M_3_Mammalia_1	37	136	41	27	136	13	96	24	91
external_long_Corona_M_3_Mammalia_2	0	168	0	30	132	42	82	59	64
external_long_Corona_M_3_Mammalia_3	39	0	0	0	130	0	115	88	58
external_long_Corona_NS2A_1_Mammalia_1	11	0	0	0	26	0	39	0	46
external_long_Corona_NS3_1_Mammalia_1	79	0	0	0	383	0	181	0	51
external_long_Corona_NS3_2_Mammalia_1	0	68	0	0	61	18	29	0	0
external_long_Corona_NS6_1_Aves_1	51	112	61	0	61	0	37	0	0
external_long_Corona_NS7B_1_Mammalia_1	0	127	102	47	0	0	197	0	98
external_long_Corona_NS7C_1_Aves_1	0	0	174	0	309	0	148	0	0
external_long_Corona_NSP10_1_Aves_1	63	0	170	0	161	0	217	0	0
external_long_Corona_NSP10_4_Aves_1	62	190	0	0	142	0	132	0	53
external_long_Corona_NSP10_4_Aves_2	52	0	149	0	181	33	136	0	33
external_long_Corona_NSP10_5_Mammalia_1	0	0	29	0	46	20	56	0	39
external_long_Corona_NSP10_6_Mammalia_1	19	0	34	0	23	0	21	0	17
external_long_Corona_NSP11_1_Aves_1	98	0	0	0	145	0	256	0	134
external_long_Corona_NSP11_1_Aves_2	29	36	0	0	0	0	92	0	65
external_long_Corona_NSP11_2_Aves_1	0	0	28	0	64	0	81	0	29
external_long_Corona_NSP12_2_Aves_1	0	36	24	0	30	0	36	0	24
external_long_Corona_NSP12_5_Mammalia_1	43	0	63	0	0	21	134	0	112
external_long_Corona_NSP12_6_Aves_1	41	0	93	0	135	0	185	0	109
external_long_Corona_NSP13_3_Aves_1	51	0	69	0	233	0	196	0	68
external_long_Corona_NSP13_4_Mammalia_1	17	0	60	0	43	0	0	0	19
external_long_Corona_NSP13_6_Aves_1	32	43	21	0	28	0	28	0	11
external_long_Corona_NSP13_8_Mammalia_1	31	0	63	0	76	0	49	0	82
external_long_Corona_NSP14_1_Mammalia_1	35	0	44	0	0	16	74	0	103
external_long_Corona_NSP16_3_Mammalia_1	18	0	50	0	72	0	67	0	47
external_long_Corona_NSP1_2_Aves_1	54	0	184	0	128	0	178	0	33
external_long_Corona_NSP2_2_Mammalia_1	45	0	137	0	0	0	178	0	90
external_long_Corona_NSP2_4_Aves_1	0	108	157	31	102	0	136	0	47
external_long_Corona_NSP2_7_Aves_1	0	112	113	0	0	0	70	0	0
external_long_Corona_NSP3_3_Aves_1	0	94	70	0	0	97	238	0	57
external_long_Corona_NSP3_3_Aves_2	0	105	113	0	68	48	138	0	0
external_long_Corona_NSP4_5_Mammalia_1	20	0	149	0	0	0	159	0	71
external_long_Corona_NSP5_1_Aves_1	0	119	203	0	168	45	169	0	65
external_long_Corona_NSP5_1_Aves_2	0	47	101	0	85	0	79	0	0
external_long_Corona_NSP7_1_Mammalia_1	0	25	0	0	0	0	55	0	32
external_long_Corona_NSP9_2_Aves_1	36	0	96	0	0	0	103	0	50
external_long_Corona_NSP9_3_Mammalia_1	0	30	0	0	45	0	76	0	53
external_long_Corona_NSP9_4_Aves_1	0	0	42	0	55	19	76	0	23
external_long_Corona_NSP9_5_Aves_1	31	0	109	0	96	0	244	0	90
external_long_Corona_N_1_Aves_1	0	147	0	0	206	51	134	78	0
external_long_Corona_N_1_Aves_2	0	145	0	0	148	47	95	0	201
external_long_Corona_N_1_Mammalia_1	0	24	0	0	21	0	38	12	15
external_long_Corona_N_2_Aves_1	0	0	223	0	272	0	169	0	51
external_long_Corona_N_2_Aves_2	0	219	344	0	147	0	0	0	0
external_long_Corona_N_2_Aves_3	0	275	337	0	169	0	0	0	0
external_long_Corona_N_2_Aves_4	0	320	442	0	143	0	0	0	0
external_long_Corona_N_2_Aves_5	0	274	235	0	114	0	0	0	0
external_long_Corona_N_2_Mammalia_1	0	340	257	0	184	0	97	0	107
external_long_Corona_N_2_Mammalia_2	0	705	221	0	474	0	207	0	182
external_long_Corona_N_2_Mammalia_3	0	639	433	0	562	0	206	0	160
external_long_Corona_N_2_Mammalia_4	0	697	343	0	331	0	196	0	155
external_long_Corona_N_2_Mammalia_5	0	183	0	0	107	0	48	0	181
external_long_Corona_N_2_Unclassified_1	0	150	109	0	0	0	0	0	0
external_long_Corona_ORF1B_1_Mammalia_1	8	0	41	0	30	0	87	0	0
external_long_Corona_ORF3A_1_Mammalia_1	0	98	0	0	112	0	234	0	75
external_long_Corona_ORF3A_2_Mammalia_1	22	168	0	0	137	0	77	0	107
external_long_Corona_ORF3C_1_Mammalia_1	16	58	70	7	32	3	102	17	79
external_long_Corona_ORF3_1_Mammalia_1	0	35	27	0	0	0	53	0	71
external_long_Corona_ORF4B_1_Mammalia_1	0	210	0	0	246	112	61	0	88
external_long_Corona_ORF4B_1_Mammalia_2	0	32	0	0	0	0	52	0	25
external_long_Corona_ORF4B_1_Unclassified_1	0	182	0	0	115	0	0	0	0
external_long_Corona_ORF5_1_Mammalia_1	0	63	119	0	123	0	70	0	55
external_long_Corona_ORF5_1_Unclassified_1	0	20	40	0	0	14	36	0	0
external_long_Corona_P87_1_Aves_1	21	0	139	0	121	0	170	39	26
external_long_Corona_P87_2_Aves_1	38	0	80	0	103	0	207	0	147
external_long_Corona_P87_2_Aves_2	27	0	97	0	0	0	173	0	80
external_long_Filo_L_1_Homo_sapiens_1	26	0	148	0	0	0	132	0	20
external_long_Filo_L_1_Mammalia_1	7	24	56	0	22	8	33	0	0
external_long_Filo_NP_1_Homo_sapiens_1	35	0	257	0	0	39	77	123	39
external_long_Filo_VP30_2_Homo_sapiens_1	19	0	70	0	0	0	33	0	16
external_long_Filo_VP35_1_Homo_sapiens_1	0	39	56	21	63	0	40	26	0
external_long_Filo_VP35_1_Mammalia_1	37	0	49	0	48	0	0	75	0
external_long_Filo_VP40_2_Homo_sapiens_1	18	0	102	0	0	0	0	52	49
external_long_Flavi_ANCC_4_Homo_sapiens_1	0	0	115	0	0	0	0	419	106
external_long_Flavi_C_1_Mammalia_1	40	107	195	0	119	0	159	0	55
external_long_Flavi_C_1_Mammalia_2	0	0	312	0	0	65	215	0	121
external_long_Flavi_C_1_Mammalia_3	0	0	109	0	0	0	54	0	29
external_long_Flavi_C_3_Mammalia_1	0	178	250	0	0	0	0	119	0
external_long_Flavi_C_4_Homo_sapiens_1	0	124	227	0	0	0	56	0	39
