start,end,seq_len,exp_site,exp_s_site,exp_n_site,exp_ratio,obs_s,obs_n,dnds
2,2004,987,971.9999999999999,326.7649315585418,645.2350684414581,1.9746154073631388,1304,1320,0.5126415680115002
3,2005,987,973.0000000000002,327.4567732685054,645.5432267314949,1.9713845595191506,1575,1472,0.47408465795792676
4,2006,987,968.9999999999997,327.674283056415,641.3257169435847,1.957204913860051,1787,1661,0.474907231259116
5,2007,987,971.0000000000005,326.92689635120587,644.0731036487946,1.9700829477085602,2030,1792,0.4480819559990649
6,2008,987,971,328.4349941306839,642.5650058693161,1.9564450115009373,2046,1746,0.43618523853267344
7,2009,987,969.0000000000002,328.5838652566454,640.4161347433547,1.9490188121171075,2280,1923,0.4327413606210496
8,2010,987,978.0000000000002,328.8040198731054,649.1959801268948,1.9744161898550923,2174,1941,0.4521965994890093
9,2011,987,978,327.68756834880435,650.3124316511957,1.9845502071625003,2560,2180,0.42909597193691545
10,2012,987,977.9999999999999,327.5057069898852,650.4942930101147,1.9862075045617595,3046,2614,0.4320669684887581
11,2013,987,980,326.6066126034801,653.3933873965199,2.000551618315758,3513,2901,0.41278111276020785
12,2014,987,979.9999999999999,325.79070787184503,654.2092921281549,2.008066148975306,4328,3270,0.37625517809361797
13,2015,987,982,326.4374677667999,655.5625322332002,2.0082331134290023,5757,4257,0.3682080651039746
14,2016,987,981.9999999999998,327.3250308368608,654.6749691631389,2.0000760940565825,6504,5012,0.38528669399978327
15,2017,987,982,328.4785631514132,653.5214368485867,1.9895405976533818,8744,6762,0.38869791575762835
16,2018,987,981.9999999999998,328.6592415308999,653.3407584690998,1.9878971162527737,9796,7696,0.3952049530231065
17,2019,987,982,329.0076449949847,652.9923550050154,1.9847330751690269,11238,8972,0.40225192393741643
18,2020,987,983,329.4823283709466,653.5176716290534,1.9834680508063325,10686,8538,0.4028244021935401
19,2021,987,982.9999999999998,329.2422869801552,653.7577130198446,1.9856432143518954,10423,8059,0.38939215893441154
20,2022,987,982.9999999999997,328.6344117573474,654.3655882426523,1.9911657599807713,11303,8485,0.37700811944553403
21,2023,987,983,328.735431888754,654.2645681112459,1.990246577170461,10331,7669,0.3729833888400509
