Samples	SBS1	SBS2	SBS3	SBS5	SBS10b	SBS12	SBS16	SBS17a	SBS17b	SBS32	SBS48	SBS85	SBS96D	SBS96H
external_long_Arena_GPC_1_Reptilia_1	138	0	0	50	0	542	310	0	0	226	0	0	0	0
external_long_Arena_GPC_2_Homo_sapiens_1	24	51	0	59	0	198	0	0	0	129	0	0	0	144
external_long_Arena_GPC_2_Homo_sapiens_2	0	20	0	26	0	0	19	0	0	17	0	0	0	50
external_long_Arena_GPC_3_Homo_sapiens_1	64	0	0	55	0	369	0	0	0	165	0	0	0	0
external_long_Arena_GPC_4_Reptilia_1	91	0	0	294	174	0	103	0	0	69	0	0	0	101
external_long_Arena_NP_2_Reptilia_1	175	0	0	94	0	311	0	0	0	162	0	0	0	0
external_long_Arena_Z_1_Homo_sapiens_1	19	34	0	37	0	188	0	0	0	0	0	0	0	113
external_long_Arena_Z_2_Homo_sapiens_1	9	22	0	45	0	96	0	0	0	0	0	70	0	0
external_long_Arena_Z_3_Reptilia_1	0	0	0	140	37	69	0	0	0	0	0	0	0	161
external_long_Calici_C_2_Mammalia_1	44	0	0	296	104	0	111	0	0	0	0	0	0	151
external_long_Calici_C_2_Mammalia_2	40	0	0	618	89	0	0	0	0	0	0	0	0	131
external_long_Calici_C_2_Mammalia_3	126	0	0	392	123	342	129	0	0	190	0	0	0	0
external_long_Calici_LC_2_Mammalia_1	36	0	0	453	78	0	0	0	0	184	0	0	0	151
external_long_Calici_NS1_2_2_Mammalia_1	12	0	0	0	0	222	319	0	0	131	0	0	0	198
external_long_Calici_NS1_2_2_Unclassified_1	4	0	0	34	0	56	132	0	0	0	0	0	0	0
external_long_Calici_NS4_2_Mammalia_1	0	0	0	198	0	160	0	0	0	72	0	0	0	0
external_long_Calici_NTPASE_2_Mammalia_1	24	0	0	579	0	0	0	0	0	0	0	0	0	143
external_long_Calici_NTPASE_2_Mammalia_2	71	0	0	198	0	183	149	0	0	182	0	0	0	0
external_long_Calici_ORF2_2_Homo_sapiens_1	6	0	0	512	0	0	0	0	0	0	0	0	0	275
external_long_Calici_ORF2_2_Homo_sapiens_2	0	25	0	125	0	0	33	0	0	0	0	0	0	138
external_long_Calici_ORF2_2_Mammalia_1	0	0	0	376	0	0	183	0	0	0	0	0	0	305
external_long_Calici_ORF2_2_Mammalia_2	5	0	0	344	0	221	0	0	0	0	0	0	0	191
external_long_Calici_ORF2_2_Mammalia_3	3	0	0	93	0	0	83	0	0	0	0	0	0	89
external_long_Calici_ORF2_2_Unclassified_1	0	0	0	70	0	0	0	0	0	0	0	0	0	91
external_long_Calici_ORF3_3_Mammalia_1	9	0	0	67	0	144	61	0	0	115	0	0	0	0
external_long_Calici_P15_2_Mammalia_1	14	0	0	148	0	0	65	0	0	0	0	0	0	168
external_long_Calici_P16_2_Mammalia_1	2	0	0	58	0	0	138	0	0	0	0	0	0	47
external_long_Calici_P22_3_Homo_sapiens_1	34	0	0	146	0	274	0	0	0	0	0	0	0	112
external_long_Calici_P22_4_Homo_sapiens_1	0	0	0	36	0	65	0	0	0	40	0	0	0	0
external_long_Calici_P23_P26_2_Mammalia_1	6	39	0	138	0	153	0	0	0	49	0	0	0	126
external_long_Calici_P29_2_Mammalia_1	16	43	0	252	0	0	127	0	0	0	0	0	0	294
external_long_Calici_P30_2_Mammalia_1	6	0	0	431	0	0	0	0	0	0	0	0	0	165
external_long_Calici_P30_2_Mammalia_2	1	0	0	173	0	0	112	0	0	55	0	0	0	118
external_long_Calici_P30_VPG_2_Mammalia_1	11	0	0	17	18	72	0	0	0	32	0	0	0	41
external_long_Calici_P32_2_Mammalia_1	62	0	0	270	0	0	145	0	0	105	0	0	0	99
external_long_Calici_P32_2_Mammalia_2	58	0	0	270	0	248	0	0	0	103	0	0	0	0
external_long_Calici_P37_2_Mammalia_1	12	0	0	79	0	0	360	0	0	0	0	0	0	218
external_long_Calici_PRO_3_Homo_sapiens_1	31	0	0	140	0	301	0	0	0	0	0	0	0	396
external_long_Calici_PRO_3_Homo_sapiens_2	11	0	0	70	0	387	0	0	0	0	0	0	0	272
external_long_Calici_PRO_3_Mammalia_1	25	0	0	495	0	0	0	0	0	0	0	0	0	502
external_long_Calici_PRO_3_Unclassified_1	7	0	0	84	0	0	0	0	0	0	0	0	0	29
external_long_Calici_RDRP_2_Mammalia_1	11	44	0	90	0	157	100	0	0	0	0	0	0	198
external_long_Calici_RDRP_2_Mammalia_2	2	0	0	25	0	0	85	0	0	23	0	0	0	0
