average_time,mutation_type,distance
4.5,nonsyn_distance,4.996510681792854e-4
4.5,syn_distance,8.288008275111336e-4
5.5,nonsyn_distance,1.1119185442609592e-5
5.5,syn_distance,1.7124284418246205e-6
6.5,nonsyn_distance,7.719406525966699e-4
6.5,syn_distance,8.557340532612256e-4
7.5,nonsyn_distance,0.001729454346545034
7.5,syn_distance,0.0021854543271295768
8.5,nonsyn_distance,0.003052673096501146
8.5,syn_distance,0.0033545717102456685
9.5,nonsyn_distance,0.004336632854150979
9.5,syn_distance,0.004135729010177669
10.5,nonsyn_distance,0.005678590465909017
10.5,syn_distance,0.004379429718551986
11.5,nonsyn_distance,0.008068754587269744
11.5,syn_distance,0.004541532335760379
12.5,nonsyn_distance,0.01111386853267482
12.5,syn_distance,0.004440213237742685
13.5,nonsyn_distance,0.012040648419471722
13.5,syn_distance,0.004947837614665995
14.5,nonsyn_distance,0.013386042270702947
14.5,syn_distance,0.005071165907438613
15.5,nonsyn_distance,0.01340820930107156
15.5,syn_distance,0.004822444884052812
16.5,nonsyn_distance,0.013590038213879052
16.5,syn_distance,0.004590956851747818
17.5,nonsyn_distance,0.014410450655277351
17.5,syn_distance,0.004631278545161099
18.5,nonsyn_distance,0.015342164853091034
18.5,syn_distance,0.005222736515185122
19.5,nonsyn_distance,0.016241861416001924
19.5,syn_distance,0.005592487980792704
20.5,nonsyn_distance,0.017730437123665288
20.5,syn_distance,0.0059186978928550404
21.5,nonsyn_distance,0.017794851449890015
21.5,syn_distance,0.005878471956428211
22.5,nonsyn_distance,0.019895198028322736
22.5,syn_distance,0.0068299102840804204
23.5,nonsyn_distance,0.023221024132609847
23.5,syn_distance,0.007866094628278364
24.5,nonsyn_distance,0.026589462218957305
24.5,syn_distance,0.008830112950545033
25.5,nonsyn_distance,0.032130490571145365
25.5,syn_distance,0.009229041576037544
26.5,nonsyn_distance,0.03963891241663908
26.5,syn_distance,0.010592945590743974
27.5,nonsyn_distance,0.0478964808219593
27.5,syn_distance,0.010795640627805136
28.5,nonsyn_distance,0.0564827587446054
28.5,syn_distance,0.01053983857504237
29.5,nonsyn_distance,0.0682417981006278
29.5,syn_distance,0.012627158049893339
30.5,nonsyn_distance,0.0717536936431532
30.5,syn_distance,0.01361600254743145
31.5,nonsyn_distance,0.072663237076668
31.5,syn_distance,0.012434769683823621
32.5,nonsyn_distance,0.07074262088220717
32.5,syn_distance,0.013676436081707766
33.5,nonsyn_distance,0.0709106385783449
33.5,syn_distance,0.01432433173691372
34.5,nonsyn_distance,0.07151314873670511
34.5,syn_distance,0.014549237232918566
35.5,nonsyn_distance,0.07366470278072856
35.5,syn_distance,0.015383892428210588
36.5,nonsyn_distance,0.07191496388331231
36.5,syn_distance,0.015391694012608537
37.5,nonsyn_distance,0.073708824266013
37.5,syn_distance,0.017812945208466324
38.5,nonsyn_distance,0.07365512279146935
38.5,syn_distance,0.017572555507913812
39.5,nonsyn_distance,0.07728549069530932
39.5,syn_distance,0.01836866532781012
40.5,nonsyn_distance,0.07929019521168512
40.5,syn_distance,0.01857925927039028
41.5,nonsyn_distance,0.08256282162248907
41.5,syn_distance,0.020678190458709556
42.5,nonsyn_distance,0.08665981218313212
42.5,syn_distance,0.020138940645444636
0,nonsyn_distance,0
0,syn_distance,0
